name,image,party,status,email,term
Lars-Emil Johansen,/media/753863/Lars-Emil Johansen - 07533.jpg,Siumut,President of Inatsisartut,larsemil@inatsisartut.gl,2014-12-12
Kim Kielsen,/media/234524/2010.09.17 Start EM 2010 00953.jpg,Siumut,The Premier,kim@nanoq.gl,2014-12-12
Aaja Chemnitz Larsen,/media/2461849/Aaja Chemnitz Larsen 2014.12 - 15537.jpg,Inuit Ataqatigiit,Member of Inatsisartut,aacl@inatsisartut.gl,2014-12-12
Agathe Fontain,/media/234537/2010.09.17 Start EM 2010 00896.jpg,Inuit Ataqatigiit,Member of Inatsisartut,agathe@inatsisartut.gl,2014-12-12
Anders Olsen,/media/293529/untitled-4.jpg,Siumut,Member of Inatsisartut,anols@inatsisartut.gl,2014-12-12
Ane Hansen,/media/234538/2010.09.17 Start EM 2010 00903.jpg,Inuit Ataqatigiit,Member of Inatsisartut,aneh@inatsisartut.gl,2014-12-12
Anthon Frederiksen,/media/234539/2010.09.17 Start EM 2010 00946.jpg,Partii Naleraq,Member of Inatsisartut,antuut@inatsisartut.gl,2014-12-12
Aqqaluaq B. Egede,/media/234438/2010.09.17 Start EM 2010 00886.jpg,Inuit Ataqatigiit,Member of Inatsisartut,aqqe@inatsisartut.gl,2014-12-12
Hans Enoksen,/media/298458/untitled-6.jpg,Partii Naleraq,Member of Inatsisartut,hans@inatsisartut.gl,2014-12-12
Iddimanngiiu Bianco,/media/2461401/Iddimanngiiu Bianco 2014.12 - 15527.jpg,Inuit Ataqatigiit,Member of Inatsisartut,idjb@inatsisartut.gl,2014-12-12
Ineqi Kielsen,/media/2461245/Ineqi Kielsen 2014.12 - 15542.jpg,Siumut,Member of Inatsisartut,ineqi@inatsisartut.gl,2014-12-12
Jens Immanuelsen,/media/402739/Jens Immanuelsen - 03714.jpg,Siumut,Member of Inatsisartut,jeim@inatsisartut.gl,2014-12-12
Jens-Erik Kirkegaard,/media/761460/Jens_Erik_Kirkegaard.jpg,Siumut,Substitue,jenserik@inatsisartut.gl,2014-12-12
Jess Svane,/media/2461089/Jess Svane 2014.12 - 15524.jpg,Siumut,Substitue,jess@inatsisartut.gl,2014-12-12
Juliane Henningsen,/media/234488/2010.09.17 Start EM 2010 00898.jpg,Inuit Ataqatigiit,Member of Inatsisartut,jhen@inatsisartut.gl,2014-12-12
Justus Hansen,/media/234516/2010.09.17 Start EM 2010 00888.jpg,Demokraatit,Member of Inatsisartut,justus@inatsisartut.gl,2014-12-12
Kalistat Lund,/media/719177/Kalistat Lund - 07662.jpg,Inuit Ataqatigiit,Member of Inatsisartut,kalistat@inatsisartut.gl,2014-12-12
Laura Tàunâjik,/media/2461193/Laura Taunajik 2014.12 - 15533.jpg,Siumut,Member of Inatsisartut,laura@inatsisartut.gl,2014-12-12
Mùte Bourup Egede,/css/images/INAT-dukke-lys.jpg,Inuit Ataqatigiit,Substitue,mube@inatsisartut.gl,2014-12-12
Michael Rosing,/media/530703/Michael Rosing - 01220.jpg,Demokraatit,Substitue,michael@inatsisartut.gl,2014-12-12
Naaja H. Nathanielsen,/media/234421/2010.09.17 Start EM 2010 00941.jpg,Inuit Ataqatigiit,Member of Inatsisartut,nana@inatsisartut.gl,2014-12-12
Nikolaj Jeremiassen,/media/719823/Nikolaj Jeremiassen - 07666.jpg,Siumut,Member of Inatsisartut,nije@inatsisartut.gl,2014-12-12
Per Rosing-Petersen,/media/2461609/Per Rosing Petersen 2014.12 - 15506.jpg,Partii Naleraq,Member of Inatsisartut,perrp@inatsisartut.gl,2014-12-12
Peter Olsen,/media/2462571/Peter Olsen 2014.12 - 15521.jpg,Inuit Ataqatigiit,Member of Inatsisartut,ppol@inatsisartut.gl,2014-12-12
Randi Vestergaard Evaldsen,/media/2462756/Randi Vestergaard Evaldsen 2014.12 - 15505.jpg,Demokraatit,Member of Inatsisartut,rave@inatsisartut.gl,2014-12-12
Sara Olsvig,/media/720255/Sara Olsvig - 07669.jpg,Inuit Ataqatigiit,Member of Inatsisartut,saol@inatsisartut.gl,2014-12-12
Siverth Karl Heilmann,/media/234533/2010.09.17 Start EM 2010 00891.jpg,Atassut,Substitue,skhe@inatsisartut.gl,2014-12-12
Steen Lynge,/media/762180/Steen_Lynge.jpg,Atassut,Substitue,steen@inatsisartut.gl,2014-12-12
Suka K. Frederiksen,/media/2461297/Suka K. Frederiksen 2014.12 - 15510.jpg,Siumut,Member of Inatsisartut,suka@inatsisartut.gl,2014-12-12
Tillie Martinussen,/media/2461141/Tillie Martinussen 2014.12 - 15498.jpg,Demokraatit,Substitue,tillie@inatsisartut.gl,2014-12-12
Vivian Motzfeldt,/media/2461037/Vivian Motzfeldt 2014.12 - 15515.jpg,Siumut,Substitue,vivian@inatsisartut.gl,2014-12-12
